,,,,coverage,coverage,class0_coverage,class0_coverage,class1_coverage,class1_coverage,avg_set_size,avg_set_size,singleton_rate,singleton_rate,singleton_accuracy,singleton_accuracy,empty_rate,empty_rate
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target_definition,domain,weighting,conformal_method,,,,,,,,,,,,,,
cpi_constant_2018usd,id_test,survey_weighted,label_conditional,0.9011217277625878,0.0034058025720256502,0.9138759434517096,0.0052500698443733755,0.8807244424777254,0.007297114568760258,1.2338368091488747,0.008615673225854227,0.7661631908511252,0.008615673225854263,0.8709447862755395,0.004175770972887863,0.0,0.0
cpi_constant_2018usd,id_test,survey_weighted,marginal,0.9008008087645301,0.0034921226004979615,0.9298297968159639,0.002489408051936281,0.8543241707264289,0.006426940966254251,1.226953559987819,0.007426817610141327,0.773046440012181,0.007426817610141309,0.8716908344338392,0.00389867564837647,0.0,0.0
cpi_constant_2018usd,id_test,unweighted,label_conditional,0.8997933333333334,0.002838613815766752,0.8990770447624314,0.00496824237228526,0.9008262906230625,0.005107575778261095,1.24204,0.00809713865022626,0.75796,0.008097138650226238,0.8678060072290263,0.0029400994918553206,0.0,0.0
cpi_constant_2018usd,id_test,unweighted,marginal,0.90038,0.002610151123764452,0.9172584886556117,0.002616843300100431,0.8762836377170322,0.003391700046346545,1.2375933333333333,0.007666921090786452,0.7624066666666667,0.00766692109078643,0.8693489905275855,0.002443143034187968,0.0,0.0
cpi_constant_2018usd,ood_test,survey_weighted,label_conditional,0.8950029275765206,0.003082806806549011,0.897657542070541,0.004543758466534892,0.890950755956854,0.006740656860254653,1.2423196533469332,0.009660905676679871,0.7576803466530667,0.009660905676679838,0.8614480186235921,0.0023899164787236802,0.0,0.0
cpi_constant_2018usd,ood_test,survey_weighted,marginal,0.8958209110858188,0.003209227081666547,0.9156728803317634,0.00312347927386718,0.8655176084578468,0.004390187786420941,1.2369629447456345,0.009599025723925078,0.7630370552543654,0.009599025723925044,0.8634959187628594,0.0025097447983876,0.0,0.0
cpi_constant_2018usd,ood_test,unweighted,label_conditional,0.8947520000000001,0.0031066266091838396,0.8884960204921782,0.004873884180314946,0.9034978897557233,0.005891841254961064,1.2416226666666668,0.009379909289092589,0.7583773333333333,0.009379909289092549,0.8612442995127614,0.0024899031478864252,0.0,0.0
cpi_constant_2018usd,ood_test,unweighted,marginal,0.896368,0.0031405036947582464,0.9077646143994146,0.0029664527150750344,0.8804354776825681,0.00410692598083224,1.238448,0.009199787866582761,0.761552,0.00919978786658275,0.8639468100259533,0.002502347699458951,0.0,0.0
