,,,selection_rate,selection_rate,selective_risk,selective_risk
,,,mean,std,mean,std
target_definition,domain,desired_selection_rate,,,,
cpi_constant_2018usd,id_test,0.5,0.5010504509457456,0.008958606669346194,0.06930308800853069,0.004336750199687009
cpi_constant_2018usd,id_test,0.7,0.7016074464098777,0.008016678913684096,0.11171722305321755,0.003803332157671912
cpi_constant_2018usd,id_test,0.8,0.7999292843261678,0.005913575872942515,0.13536063212016897,0.003983353734799399
cpi_constant_2018usd,id_test,0.9,0.900948647254032,0.005789856707902306,0.16241910095499754,0.004273495844615486
cpi_constant_2018usd,id_test,0.95,0.9505761142662822,0.004019833419544425,0.17634813844049524,0.004090735071347904
cpi_constant_2018usd,ood_test,0.5,0.48279218907830784,0.00731223257437822,0.07594749186428723,0.0014999474144289286
cpi_constant_2018usd,ood_test,0.7,0.6886548939289577,0.006331190335397627,0.11858479091761494,0.0017883952475502374
cpi_constant_2018usd,ood_test,0.8,0.7908111606243646,0.0069327216290576525,0.14367379161574503,0.001955200409466086
cpi_constant_2018usd,ood_test,0.9,0.8954394196709388,0.004762248035741534,0.17140002864932807,0.0013874868644234383
cpi_constant_2018usd,ood_test,0.95,0.9484034861853772,0.003057140599358532,0.18666334103584914,0.0007944907937372619
survey_year_adjusted_50000,id_test,0.5,0.5010504509457456,0.008958606669346194,0.06930308800853069,0.004336750199687009
survey_year_adjusted_50000,id_test,0.7,0.7016074464098777,0.008016678913684096,0.11171722305321755,0.003803332157671912
survey_year_adjusted_50000,id_test,0.8,0.7999292843261678,0.005913575872942515,0.13536063212016897,0.003983353734799399
survey_year_adjusted_50000,id_test,0.9,0.900948647254032,0.005789856707902306,0.16241910095499754,0.004273495844615486
survey_year_adjusted_50000,id_test,0.95,0.9505761142662822,0.004019833419544425,0.17634813844049524,0.004090735071347904
survey_year_adjusted_50000,ood_test,0.5,0.48279218907830784,0.00731223257437822,0.10763317185318141,0.00206785062458534
survey_year_adjusted_50000,ood_test,0.7,0.6886548939289577,0.006331190335397627,0.15064224696198147,0.0020592955517457533
survey_year_adjusted_50000,ood_test,0.8,0.7908111606243646,0.0069327216290576525,0.17448236923148458,0.0025690027862019112
survey_year_adjusted_50000,ood_test,0.9,0.8954394196709388,0.004762248035741534,0.2003092481216684,0.0017901031901950662
survey_year_adjusted_50000,ood_test,0.95,0.9484034861853772,0.003057140599358532,0.21405575980225416,0.001375910377034744
unadjusted_reported_income_50000,id_test,0.5,0.5004312018827229,0.008502200029829246,0.06456864031087554,0.004144336507580928
unadjusted_reported_income_50000,id_test,0.7,0.7018555684026593,0.007106032552470384,0.10595793886912352,0.002717454463480512
unadjusted_reported_income_50000,id_test,0.8,0.8001361011879384,0.0060397347220064014,0.13084863907754635,0.00352027102340968
unadjusted_reported_income_50000,id_test,0.9,0.8998871768830063,0.0042189977511645944,0.15935292943562002,0.002888533355721898
unadjusted_reported_income_50000,id_test,0.95,0.9493366251508009,0.004038990519402413,0.17437957239904994,0.004177388131507522
unadjusted_reported_income_50000,ood_test,0.5,0.4777408411490603,0.008241623866714797,0.10450463672112194,0.001688757509424299
unadjusted_reported_income_50000,ood_test,0.7,0.6869969341403434,0.007396415077462201,0.14953609005214452,0.0019845680258219573
unadjusted_reported_income_50000,ood_test,0.8,0.7897517942737029,0.0070140799681326915,0.17383178684797468,0.0022407493123894366
unadjusted_reported_income_50000,ood_test,0.9,0.8935099698265198,0.004762157389408458,0.1996146155117648,0.0018280519301309456
unadjusted_reported_income_50000,ood_test,0.95,0.9460648382868746,0.003631803710718177,0.2130400112284075,0.0011983126203590705
