,,,coverage,coverage,class0_coverage,class0_coverage,class1_coverage,class1_coverage,avg_set_size,avg_set_size,singleton_rate,singleton_rate,singleton_accuracy,singleton_accuracy,empty_rate,empty_rate
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
heldout_site,domain,conformal_method,,,,,,,,,,,,,,
Cleveland,id_test,label_conditional,0.9365591397849462,0.04820755219668796,0.95,0.04684855792842043,0.9280701754385966,0.0587421006027962,1.4344086021505376,0.1962639708518721,0.5655913978494624,0.19626397085187217,0.8978847535933472,0.04639807522612556,0.0,0.0
Cleveland,id_test,marginal,0.9225806451612903,0.03919777237130414,0.8722222222222221,0.05885277252618775,0.9543859649122808,0.043132371730025196,1.260215053763441,0.1251712255927705,0.7397849462365591,0.12517122559277047,0.8999698448549026,0.038541382868805076,0.0,0.0
Cleveland,ood_test,label_conditional,0.8287128712871287,0.12229987858738002,0.9030487804878049,0.1884103585696378,0.7410071942446044,0.16916251403883353,1.3762376237623761,0.19730343468825243,0.6237623762376237,0.19730343468825245,0.7340235071125152,0.14159162741502326,0.0,0.0
Cleveland,ood_test,marginal,0.8135313531353136,0.12632836819865037,0.8341463414634147,0.22262917988232883,0.7892086330935252,0.1314818047945614,1.3072607260726072,0.16098823616421334,0.6927392739273928,0.16098823616421334,0.737394061386009,0.14217772599860787,0.0,0.0
Hungary,id_test,label_conditional,0.9105263157894736,0.034468215270857035,0.9090909090909092,0.06998185081086374,0.9112903225806452,0.05226403789038601,1.3789473684210527,0.13894027981209353,0.6210526315789473,0.13894027981209356,0.8572414773216452,0.04889305507048759,0.0,0.0
Hungary,id_test,marginal,0.9105263157894736,0.029461150217099417,0.8181818181818181,0.07692700106933247,0.9596774193548387,0.03335933775804003,1.2442105263157894,0.06560559097555221,0.7557894736842105,0.06560559097555224,0.8822764987153994,0.03404172404738348,0.0,0.0
Hungary,ood_test,label_conditional,0.9272108843537415,0.023521637151727753,0.9904255319148936,0.011157540937980326,0.8150943396226416,0.06673782840192362,1.360544217687075,0.13220168568842092,0.6394557823129252,0.13220168568842097,0.8887270209803253,0.023134588678914596,0.0,0.0
Hungary,ood_test,marginal,0.9156462585034013,0.022550675538234623,0.9287234042553191,0.021008954955459076,0.8924528301886794,0.05035375824213357,1.3200680272108845,0.13345446623985913,0.6799319727891157,0.1334544662398591,0.8768089339712732,0.017113568838602898,0.0,0.0
Switzerland,id_test,label_conditional,0.9108333333333333,0.04462636379629212,0.9245901639344263,0.04103821498474011,0.8966101694915254,0.06800814456860636,1.2733333333333332,0.12049281521534187,0.7266666666666667,0.12049281521534187,0.8809416359420996,0.04781087123526392,0.0,0.0
Switzerland,id_test,marginal,0.9099999999999999,0.0459468291736341,0.9081967213114754,0.04899783993761728,0.9118644067796611,0.05465937456473595,1.2466666666666666,0.10730998135665404,0.7533333333333333,0.10730998135665401,0.8840290022463518,0.046875078802328635,0.0,0.0
Switzerland,ood_test,label_conditional,0.8195121951219513,0.0813730483071493,0.775,0.05270462766947299,0.8226086956521739,0.08639431784469166,1.389430894308943,0.12679046496023474,0.6105691056910569,0.12679046496023474,0.7066584595838642,0.12030649070150014,0.0,0.0
Switzerland,ood_test,marginal,0.8292682926829269,0.06812902487792159,0.75,0.05892556509887897,0.8347826086956521,0.0711179370804945,1.3528455284552847,0.12833058564947558,0.6471544715447155,0.12833058564947558,0.740726052609216,0.0739067289096935,0.0,0.0
VA Long Beach,id_test,label_conditional,0.924074074074074,0.03318439519929782,0.937037037037037,0.03403468827676597,0.9111111111111111,0.06343324730205004,1.2648148148148148,0.1021973190874113,0.7351851851851852,0.10219731908741134,0.8987836828246574,0.030290054659372116,0.0,0.0
VA Long Beach,id_test,marginal,0.9064814814814814,0.0446091768786352,0.9055555555555556,0.03947722705017156,0.9074074074074074,0.059847899474275656,1.2046296296296295,0.09656598039069313,0.7953703703703704,0.09656598039069314,0.8859467476028069,0.041217058528292626,0.0,0.0
VA Long Beach,ood_test,label_conditional,0.8625,0.04373213921133977,0.7333333333333333,0.06613914060482885,0.9067114093959731,0.04512698532794513,1.3699999999999999,0.12362577940435127,0.63,0.12362577940435134,0.785062194547132,0.04094052603409252,0.0,0.0
VA Long Beach,ood_test,marginal,0.8564999999999999,0.052707262834978966,0.6862745098039216,0.11909063502149411,0.914765100671141,0.03566110608681966,1.302,0.13948715592005834,0.698,0.13948715592005834,0.7996989339152822,0.036835241251647124,0.0,0.0
