target_definition,model,mapping,domain,alpha,conformal_method,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,coverage,10,0.9569897392031192,0.004471516067344477,0.9516772451404938,0.9527671125563962,0.957099894362932,0.9603148297543784,0.9634466627062598
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,avg_set_size,10,1.4471357701382783,0.021273086485839084,1.4202028237247102,1.427925097571137,1.4479664567730648,1.4604226607093964,1.4873184034814622
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,singleton_rate,10,0.5528642298617216,0.02127308648583907,0.5126815965185378,0.5395773392906036,0.5520335432269353,0.572074902428863,0.5797971762752898
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,ambiguous_rate,10,0.44713577013827843,0.02127308648583908,0.4202028237247102,0.427925097571137,0.4479664567730647,0.46042266070939647,0.4873184034814622
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,singleton_accuracy,10,0.9223644653088794,0.005425439325802229,0.9148861136201785,0.9178993247746472,0.9226415534174226,0.926650295068719,0.9290637190394072
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,class0_coverage,10,0.9624280278668282,0.005884414909927181,0.9510514117542654,0.9600668875142956,0.9619516073822151,0.96444041697697,0.9724517482129823
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,class1_coverage,10,0.9483169173261746,0.010028432501803356,0.9349036849533832,0.9408251676993714,0.9462861982632212,0.9555280435705331,0.9669556370770246
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,class0_avg_set_size,10,1.407011889546841,0.02732727520344874,1.3736936002424553,1.3847782897518044,1.4027819688371912,1.4214888726843262,1.4590860257130864
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,class1_avg_set_size,10,1.5113074049931874,0.025732543881920922,1.4763952327756589,1.4965892834674408,1.5028076434311055,1.5268857894541017,1.559781486664067
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,class0_singleton_accuracy,10,0.9364925752586182,0.010563591668533195,0.9156237103866349,0.9334952950312648,0.9359683883265448,0.940141493703943,0.954436092523512
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,survey_weighted,class1_singleton_accuracy,10,0.893946279539386,0.02188616867047082,0.8601322077806065,0.8811238707653276,0.8898760810187316,0.9121227175809777,0.9291892429288662
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,coverage,10,0.9567133333333333,0.004377727016062159,0.9517333333333333,0.9527166666666667,0.9564666666666666,0.9606833333333333,0.9619333333333333
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,avg_set_size,10,1.4550666666666667,0.02191309434342175,1.4275333333333333,1.4372,1.4535666666666667,1.4722333333333333,1.492
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,singleton_rate,10,0.5449333333333334,0.021913094343421778,0.508,0.5277666666666667,0.5464333333333333,0.5628,0.5724666666666667
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,ambiguous_rate,10,0.4550666666666666,0.021913094343421775,0.4275333333333333,0.43720000000000003,0.4535666666666667,0.47223333333333334,0.492
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,singleton_accuracy,10,0.9207294984922697,0.005049616943025358,0.9154300880685246,0.9159242115116217,0.9207181343420907,0.9250602913525401,0.9271715766847894
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,class0_coverage,10,0.9551213715557048,0.006479952943027498,0.9453619909502262,0.9511751609868723,0.9547544758503335,0.9561727881814243,0.9661649881181397
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,class1_coverage,10,0.9589960778456715,0.007607108363141304,0.9475637302355598,0.954353249904257,0.9569340249676058,0.9644080184521361,0.9724249797242498
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,class0_avg_set_size,10,1.4289172972141073,0.028639163994536646,1.3908202681208817,1.4080620293855586,1.429071337017239,1.4409878908440361,1.4817204301075269
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,class1_avg_set_size,10,1.4923665959657075,0.025017209755194187,1.4563311688311689,1.4778722608466075,1.4855443493807945,1.5031268297888343,1.5394184168012923
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,class0_singleton_accuracy,10,0.9212908975196061,0.011663214179003073,0.9022267206477733,0.916265120270158,0.9194055420191236,0.9246467816857339,0.9400550314465409
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,label_conditional,unweighted,class1_singleton_accuracy,10,0.9190050660062326,0.0158621208156286,0.8992248062015504,0.9060552835255095,0.9171008534787077,0.9328611287399531,0.9440973364024992
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,coverage,10,0.9522737473566373,0.003608978345812888,0.9473183374518013,0.9497083596644254,0.9521456212227282,0.9542273465994121,0.9577046375540664
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,avg_set_size,10,1.414527331766592,0.013841012012886435,1.392529291147641,1.408019700116324,1.4144227827356852,1.4159392340694343,1.446943783509206
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,singleton_rate,10,0.5854726682334079,0.013841012012886436,0.5530562164907941,0.5840607659305657,0.5855772172643149,0.5919802998836761,0.6074707088523591
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,ambiguous_rate,10,0.41452733176659207,0.013841012012886436,0.39252929114764096,0.40801970011632394,0.41442278273568517,0.4159392340694343,0.446943783509206
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,singleton_accuracy,10,0.9185534925150384,0.0046406652159466585,0.9112680351153124,0.914907942540538,0.918425526188628,0.921749085450846,0.9253642790669423
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,class0_coverage,10,0.9701400919907408,0.0049356244766666155,0.9635161017187456,0.9664487456661933,0.9697366712121593,0.972546117673633,0.980074073693565
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,class1_coverage,10,0.9236926329345246,0.007758935993257904,0.9115243804510638,0.9192995004957498,0.922904399402916,0.9278340225854254,0.9357103233305156
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,class0_avg_set_size,10,1.342952869996094,0.015041977564476058,1.3203309584564216,1.3304341653910472,1.34466997812841,1.3537387588593468,1.367564330414804
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,class1_avg_set_size,10,1.5290719296941118,0.030345656308973585,1.4877527151764947,1.512341481429359,1.533654148043093,1.5401488665071534,1.5936030875309106
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,class0_singleton_accuracy,10,0.9545142000083782,0.007831354184756693,0.9433023228713486,0.9488482474532263,0.9547398721709912,0.9589030052717901,0.9691013339238518
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.05,marginal,survey_weighted,class1_singleton_accuracy,10,0.8370763102391134,0.02156468715153022,0.8080115962627087,0.8209794674286327,0.831130660991918,0.8525994074042187,0.8740034168564921
