repeat,target_definition,model,mapping,model_iterations,calibrator_iterations,model_converged,calibrator_converged
0,unadjusted_reported_income_50000,logistic_regression,raw,408,0,True,True
0,unadjusted_reported_income_50000,logistic_regression,platt,408,8,True,True
0,unadjusted_reported_income_50000,logistic_regression,isotonic,408,0,True,True
0,unadjusted_reported_income_50000,lightgbm,raw,200,0,True,True
0,unadjusted_reported_income_50000,lightgbm,platt,200,8,True,True
0,unadjusted_reported_income_50000,lightgbm,isotonic,200,0,True,True
0,survey_year_adjusted_50000,logistic_regression,raw,405,0,True,True
0,survey_year_adjusted_50000,logistic_regression,platt,405,8,True,True
0,survey_year_adjusted_50000,logistic_regression,isotonic,405,0,True,True
0,survey_year_adjusted_50000,lightgbm,raw,200,0,True,True
0,survey_year_adjusted_50000,lightgbm,platt,200,8,True,True
0,survey_year_adjusted_50000,lightgbm,isotonic,200,0,True,True
0,cpi_constant_2018usd,logistic_regression,raw,405,0,True,True
0,cpi_constant_2018usd,logistic_regression,platt,405,8,True,True
0,cpi_constant_2018usd,logistic_regression,isotonic,405,0,True,True
0,cpi_constant_2018usd,lightgbm,raw,200,0,True,True
0,cpi_constant_2018usd,lightgbm,platt,200,8,True,True
0,cpi_constant_2018usd,lightgbm,isotonic,200,0,True,True
1,unadjusted_reported_income_50000,logistic_regression,raw,381,0,True,True
1,unadjusted_reported_income_50000,logistic_regression,platt,381,10,True,True
1,unadjusted_reported_income_50000,logistic_regression,isotonic,381,0,True,True
1,unadjusted_reported_income_50000,lightgbm,raw,200,0,True,True
1,unadjusted_reported_income_50000,lightgbm,platt,200,10,True,True
1,unadjusted_reported_income_50000,lightgbm,isotonic,200,0,True,True
1,survey_year_adjusted_50000,logistic_regression,raw,388,0,True,True
1,survey_year_adjusted_50000,logistic_regression,platt,388,10,True,True
1,survey_year_adjusted_50000,logistic_regression,isotonic,388,0,True,True
1,survey_year_adjusted_50000,lightgbm,raw,200,0,True,True
1,survey_year_adjusted_50000,lightgbm,platt,200,10,True,True
1,survey_year_adjusted_50000,lightgbm,isotonic,200,0,True,True
1,cpi_constant_2018usd,logistic_regression,raw,388,0,True,True
1,cpi_constant_2018usd,logistic_regression,platt,388,10,True,True
1,cpi_constant_2018usd,logistic_regression,isotonic,388,0,True,True
1,cpi_constant_2018usd,lightgbm,raw,200,0,True,True
1,cpi_constant_2018usd,lightgbm,platt,200,10,True,True
1,cpi_constant_2018usd,lightgbm,isotonic,200,0,True,True
2,unadjusted_reported_income_50000,logistic_regression,raw,411,0,True,True
2,unadjusted_reported_income_50000,logistic_regression,platt,411,8,True,True
2,unadjusted_reported_income_50000,logistic_regression,isotonic,411,0,True,True
2,unadjusted_reported_income_50000,lightgbm,raw,200,0,True,True
2,unadjusted_reported_income_50000,lightgbm,platt,200,10,True,True
2,unadjusted_reported_income_50000,lightgbm,isotonic,200,0,True,True
2,survey_year_adjusted_50000,logistic_regression,raw,413,0,True,True
2,survey_year_adjusted_50000,logistic_regression,platt,413,8,True,True
2,survey_year_adjusted_50000,logistic_regression,isotonic,413,0,True,True
2,survey_year_adjusted_50000,lightgbm,raw,200,0,True,True
2,survey_year_adjusted_50000,lightgbm,platt,200,10,True,True
2,survey_year_adjusted_50000,lightgbm,isotonic,200,0,True,True
2,cpi_constant_2018usd,logistic_regression,raw,413,0,True,True
2,cpi_constant_2018usd,logistic_regression,platt,413,8,True,True
2,cpi_constant_2018usd,logistic_regression,isotonic,413,0,True,True
2,cpi_constant_2018usd,lightgbm,raw,200,0,True,True
2,cpi_constant_2018usd,lightgbm,platt,200,10,True,True
2,cpi_constant_2018usd,lightgbm,isotonic,200,0,True,True
3,unadjusted_reported_income_50000,logistic_regression,raw,379,0,True,True
3,unadjusted_reported_income_50000,logistic_regression,platt,379,8,True,True
3,unadjusted_reported_income_50000,logistic_regression,isotonic,379,0,True,True
3,unadjusted_reported_income_50000,lightgbm,raw,200,0,True,True
3,unadjusted_reported_income_50000,lightgbm,platt,200,10,True,True
3,unadjusted_reported_income_50000,lightgbm,isotonic,200,0,True,True
3,survey_year_adjusted_50000,logistic_regression,raw,386,0,True,True
3,survey_year_adjusted_50000,logistic_regression,platt,386,7,True,True
3,survey_year_adjusted_50000,logistic_regression,isotonic,386,0,True,True
3,survey_year_adjusted_50000,lightgbm,raw,200,0,True,True
3,survey_year_adjusted_50000,lightgbm,platt,200,10,True,True
3,survey_year_adjusted_50000,lightgbm,isotonic,200,0,True,True
3,cpi_constant_2018usd,logistic_regression,raw,386,0,True,True
3,cpi_constant_2018usd,logistic_regression,platt,386,7,True,True
3,cpi_constant_2018usd,logistic_regression,isotonic,386,0,True,True
3,cpi_constant_2018usd,lightgbm,raw,200,0,True,True
3,cpi_constant_2018usd,lightgbm,platt,200,10,True,True
3,cpi_constant_2018usd,lightgbm,isotonic,200,0,True,True
4,unadjusted_reported_income_50000,logistic_regression,raw,385,0,True,True
4,unadjusted_reported_income_50000,logistic_regression,platt,385,8,True,True
4,unadjusted_reported_income_50000,logistic_regression,isotonic,385,0,True,True
4,unadjusted_reported_income_50000,lightgbm,raw,200,0,True,True
4,unadjusted_reported_income_50000,lightgbm,platt,200,10,True,True
4,unadjusted_reported_income_50000,lightgbm,isotonic,200,0,True,True
4,survey_year_adjusted_50000,logistic_regression,raw,397,0,True,True
4,survey_year_adjusted_50000,logistic_regression,platt,397,8,True,True
4,survey_year_adjusted_50000,logistic_regression,isotonic,397,0,True,True
4,survey_year_adjusted_50000,lightgbm,raw,200,0,True,True
4,survey_year_adjusted_50000,lightgbm,platt,200,10,True,True
4,survey_year_adjusted_50000,lightgbm,isotonic,200,0,True,True
4,cpi_constant_2018usd,logistic_regression,raw,397,0,True,True
4,cpi_constant_2018usd,logistic_regression,platt,397,8,True,True
4,cpi_constant_2018usd,logistic_regression,isotonic,397,0,True,True
4,cpi_constant_2018usd,lightgbm,raw,200,0,True,True
4,cpi_constant_2018usd,lightgbm,platt,200,10,True,True
4,cpi_constant_2018usd,lightgbm,isotonic,200,0,True,True
5,unadjusted_reported_income_50000,logistic_regression,raw,382,0,True,True
5,unadjusted_reported_income_50000,logistic_regression,platt,382,7,True,True
5,unadjusted_reported_income_50000,logistic_regression,isotonic,382,0,True,True
5,unadjusted_reported_income_50000,lightgbm,raw,200,0,True,True
5,unadjusted_reported_income_50000,lightgbm,platt,200,10,True,True
5,unadjusted_reported_income_50000,lightgbm,isotonic,200,0,True,True
5,survey_year_adjusted_50000,logistic_regression,raw,408,0,True,True
5,survey_year_adjusted_50000,logistic_regression,platt,408,8,True,True
5,survey_year_adjusted_50000,logistic_regression,isotonic,408,0,True,True
5,survey_year_adjusted_50000,lightgbm,raw,200,0,True,True
5,survey_year_adjusted_50000,lightgbm,platt,200,10,True,True
5,survey_year_adjusted_50000,lightgbm,isotonic,200,0,True,True
5,cpi_constant_2018usd,logistic_regression,raw,408,0,True,True
5,cpi_constant_2018usd,logistic_regression,platt,408,8,True,True
5,cpi_constant_2018usd,logistic_regression,isotonic,408,0,True,True
5,cpi_constant_2018usd,lightgbm,raw,200,0,True,True
5,cpi_constant_2018usd,lightgbm,platt,200,10,True,True
5,cpi_constant_2018usd,lightgbm,isotonic,200,0,True,True
6,unadjusted_reported_income_50000,logistic_regression,raw,399,0,True,True
6,unadjusted_reported_income_50000,logistic_regression,platt,399,8,True,True
6,unadjusted_reported_income_50000,logistic_regression,isotonic,399,0,True,True
6,unadjusted_reported_income_50000,lightgbm,raw,200,0,True,True
6,unadjusted_reported_income_50000,lightgbm,platt,200,10,True,True
6,unadjusted_reported_income_50000,lightgbm,isotonic,200,0,True,True
6,survey_year_adjusted_50000,logistic_regression,raw,408,0,True,True
6,survey_year_adjusted_50000,logistic_regression,platt,408,7,True,True
6,survey_year_adjusted_50000,logistic_regression,isotonic,408,0,True,True
6,survey_year_adjusted_50000,lightgbm,raw,200,0,True,True
6,survey_year_adjusted_50000,lightgbm,platt,200,10,True,True
6,survey_year_adjusted_50000,lightgbm,isotonic,200,0,True,True
6,cpi_constant_2018usd,logistic_regression,raw,408,0,True,True
6,cpi_constant_2018usd,logistic_regression,platt,408,7,True,True
6,cpi_constant_2018usd,logistic_regression,isotonic,408,0,True,True
6,cpi_constant_2018usd,lightgbm,raw,200,0,True,True
6,cpi_constant_2018usd,lightgbm,platt,200,10,True,True
6,cpi_constant_2018usd,lightgbm,isotonic,200,0,True,True
7,unadjusted_reported_income_50000,logistic_regression,raw,413,0,True,True
7,unadjusted_reported_income_50000,logistic_regression,platt,413,7,True,True
7,unadjusted_reported_income_50000,logistic_regression,isotonic,413,0,True,True
7,unadjusted_reported_income_50000,lightgbm,raw,200,0,True,True
7,unadjusted_reported_income_50000,lightgbm,platt,200,10,True,True
7,unadjusted_reported_income_50000,lightgbm,isotonic,200,0,True,True
7,survey_year_adjusted_50000,logistic_regression,raw,389,0,True,True
7,survey_year_adjusted_50000,logistic_regression,platt,389,7,True,True
7,survey_year_adjusted_50000,logistic_regression,isotonic,389,0,True,True
7,survey_year_adjusted_50000,lightgbm,raw,200,0,True,True
7,survey_year_adjusted_50000,lightgbm,platt,200,10,True,True
7,survey_year_adjusted_50000,lightgbm,isotonic,200,0,True,True
7,cpi_constant_2018usd,logistic_regression,raw,389,0,True,True
7,cpi_constant_2018usd,logistic_regression,platt,389,7,True,True
7,cpi_constant_2018usd,logistic_regression,isotonic,389,0,True,True
7,cpi_constant_2018usd,lightgbm,raw,200,0,True,True
7,cpi_constant_2018usd,lightgbm,platt,200,10,True,True
7,cpi_constant_2018usd,lightgbm,isotonic,200,0,True,True
8,unadjusted_reported_income_50000,logistic_regression,raw,408,0,True,True
8,unadjusted_reported_income_50000,logistic_regression,platt,408,7,True,True
8,unadjusted_reported_income_50000,logistic_regression,isotonic,408,0,True,True
8,unadjusted_reported_income_50000,lightgbm,raw,200,0,True,True
8,unadjusted_reported_income_50000,lightgbm,platt,200,10,True,True
8,unadjusted_reported_income_50000,lightgbm,isotonic,200,0,True,True
8,survey_year_adjusted_50000,logistic_regression,raw,420,0,True,True
8,survey_year_adjusted_50000,logistic_regression,platt,420,7,True,True
8,survey_year_adjusted_50000,logistic_regression,isotonic,420,0,True,True
8,survey_year_adjusted_50000,lightgbm,raw,200,0,True,True
8,survey_year_adjusted_50000,lightgbm,platt,200,10,True,True
8,survey_year_adjusted_50000,lightgbm,isotonic,200,0,True,True
