cohort_repeat,seed,target_definition,model,mapping,domain,n,weight_sum,prevalence,auroc,average_precision,pr_skill,brier,log_loss,ece,calibration_intercept,calibration_slope,calibration_fit_iterations,hcep_080,hcep_090,hcep_095,aurc,excess_aurc
0,20267728,unadjusted_reported_income_50000,logistic_regression,platt,id_test,15000,1577107.0,0.36236919879247254,0.8842087209980942,0.8074426367179133,0.6980111956363668,0.13128531599986346,0.4087443427588688,0.013096361080399549,-0.008140833120911316,1.0244139599878537,9,0.04323105534374015,0.015404788641480888,0.004550737521296907,0.07446617229723557,0.055935427197667836
0,20267728,unadjusted_reported_income_50000,logistic_regression,platt,ood_test,75000,7983478.0,0.4797654606175404,0.8745223053979269,0.8521215358505593,0.7157465470766728,0.15733294729425212,0.4815862440902718,0.1022445288887047,0.7001904456698109,0.9578516659704207,11,0.06579175141460902,0.027247898722837338,0.009915102164745742,0.10995247277185914,0.08184840661306766
0,20267728,survey_year_adjusted_50000,logistic_regression,platt,id_test,15000,1577107.0,0.39165573420192795,0.884232091426439,0.8223151731565659,0.7079206021440283,0.13394972988670067,0.4168870923131032,0.013224718973224523,-0.03995970199784833,1.0270294599599654,9,0.044596213192890526,0.014665460238271722,0.004832899733499376,0.07859736659749067,0.0593983005146304
0,20267728,survey_year_adjusted_50000,logistic_regression,platt,ood_test,75000,7983478.0,0.5079535510713501,0.8732893573206066,0.8629684449720264,0.7215068712997782,0.15643368912552585,0.48039522808182206,0.0983818558304026,0.6606441692210993,0.9502755326402297,11,0.06472166642157716,0.02525052364395568,0.009284800434096518,0.11121536584159292,0.08373564066843192
0,20267728,cpi_constant_2018usd,logistic_regression,platt,id_test,15000,1577107.0,0.39165573420192795,0.884232091426439,0.8223151731565659,0.7079206021440283,0.13394972988670067,0.4168870923131032,0.013224718973224523,-0.03995970199784833,1.0270294599599654,9,0.044596213192890526,0.014665460238271722,0.004832899733499376,0.07859736659749067,0.0593983005146304
0,20267728,cpi_constant_2018usd,logistic_regression,platt,ood_test,75000,7983478.0,0.3972589390238189,0.8765695887442901,0.807477174123605,0.6805878372304835,0.1392415818368384,0.4315014107586928,0.014216709694287052,-0.09896278396026213,0.9885940881449458,6,0.04748193707053492,0.01618066712277531,0.005349172378254189,0.08586285305928991,0.0643813443347469
1,20268231,unadjusted_reported_income_50000,logistic_regression,platt,id_test,15000,1567070.0,0.355106025895461,0.8839550632519957,0.8017532486151039,0.6925901631191862,0.13093377984315696,0.4069782461171578,0.011284860684328537,-0.06284758826426645,1.008536962864674,9,0.04271410977173962,0.014321632090461818,0.0052346098132182994,0.07349503251255837,0.05412016352776782
1,20268231,unadjusted_reported_income_50000,logistic_regression,platt,ood_test,75000,7948403.0,0.48124094865345907,0.8744683156356772,0.8547115493770963,0.719930765071416,0.1556985785735142,0.47789655223670646,0.09631804956294261,0.6580112439309875,0.9441721961995031,11,0.06586165799595214,0.026709767987355446,0.010069947384399106,0.10816315534825689,0.08101101226934071
1,20268231,survey_year_adjusted_50000,logistic_regression,platt,id_test,15000,1567070.0,0.38244303062403084,0.8835326698386925,0.8155360249731627,0.7013004723868066,0.13390231936996483,0.41578594755383275,0.012226004355320525,-0.0670572745276324,1.0033239911447167,10,0.04462021479576535,0.014604325269451907,0.00581148257576241,0.07783019949496436,0.05841395749070319
1,20268231,survey_year_adjusted_50000,logistic_regression,platt,ood_test,75000,7948403.0,0.5107236007031852,0.8738016705356297,0.8673481632320081,0.7288815954363662,0.15619959210811898,0.47941452745350666,0.09717586824327658,0.6628087693906742,0.9362113976608628,11,0.06579183264864652,0.026440657324496505,0.009051000559483458,0.10993674695834511,0.08284878617171249
1,20268231,cpi_constant_2018usd,logistic_regression,platt,id_test,15000,1567070.0,0.38244303062403084,0.8835326698386925,0.8155360249731627,0.7013004723868066,0.13390231936996483,0.41578594755383275,0.012226004355320525,-0.0670572745276324,1.0033239911447167,10,0.04462021479576535,0.014604325269451907,0.00581148257576241,0.07783019949496436,0.05841395749070319
1,20268231,cpi_constant_2018usd,logistic_regression,platt,ood_test,75000,7948403.0,0.3981353235360613,0.8764040640126529,0.8092885597353952,0.6831323589464192,0.13943232989627674,0.4318419116175349,0.015412408923847425,-0.11409654600773579,0.9694167656962707,7,0.049222466450178734,0.01726007098532875,0.005729075387848352,0.08587273004373026,0.06462873948326694
2,20268734,unadjusted_reported_income_50000,logistic_regression,platt,id_test,15000,1583332.0,0.3621647260334535,0.8874922704549393,0.8060779674407808,0.6959684726226192,0.12968800695479493,0.4041565913665356,0.01623006659131371,0.039984152897540454,1.0612849285937636,10,0.04385182640153802,0.014184643523910336,0.004196845639448959,0.07217451004701249,0.05452249604534854
2,20268734,unadjusted_reported_income_50000,logistic_regression,platt,ood_test,75000,7951971.0,0.48254677991154643,0.8702586443710585,0.8506183853682815,0.7113137790384545,0.16123913114271335,0.4919336295020879,0.10789229896231427,0.7256205863616662,0.950930073623743,11,0.06788203830220206,0.027195521714050517,0.010141636582930194,0.11537508534794508,0.08514724823573566
2,20268734,survey_year_adjusted_50000,logistic_regression,platt,id_test,15000,1583332.0,0.390331276068443,0.8849058714281444,0.8199275518682532,0.7046388619535578,0.1336144756043312,0.41530570016962387,0.017906404341596568,0.009132643728304265,1.0547359071158742,10,0.04495582733122302,0.013220853238613254,0.00370863470200817,0.07739840638585249,0.058570588446517
