target_definition,model,mapping,domain,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,prevalence,10,0.3844326127444545,0.0023012165427017802,0.38020031763050915,0.3830921364985438,0.38471791692260326,0.3858026797394271,0.3876497450597845
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,auroc,10,0.8871450277673902,0.0021795625435039176,0.8847399645805529,0.8855120505494589,0.8865883635523453,0.8885048488458658,0.8906927156460417
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,average_precision,10,0.8178743775336749,0.003517778591484437,0.8110917417481606,0.8171815258167414,0.8178421942631691,0.8190917182617704,0.8250028583406508
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,pr_skill,10,0.7041292674559496,0.005860180060781416,0.6931296869574707,0.7016079477192284,0.7041285237450258,0.7061300437765178,0.7158604944563964
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,brier,10,0.13219262382145677,0.001404409833892101,0.12988131553721183,0.13151479528949758,0.13232452052003152,0.13313286749739836,0.13418927947909473
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,log_loss,10,0.41017662105267877,0.004093246822380366,0.40283361831151676,0.4083846378893962,0.41101824208396076,0.4132074652138872,0.415453185280746
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,ece,10,0.015205216165939079,0.0019228738775584635,0.012019924326532854,0.014309926881974891,0.0154606605090057,0.015842316912385922,0.01833581469898221
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,calibration_intercept,10,-0.012107530445791301,0.02136245137381827,-0.044793636721215745,-0.0287637301161262,-0.009978563208954334,0.0031282396724010755,0.02266638032628903
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,calibration_slope,10,0.9836177960414432,0.0398728873506323,0.9190215798151199,0.9629896985497489,0.978482810847473,0.9999815910377776,1.0705167580631647
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,hcep_080,10,0.04577424845489477,0.004131393051037855,0.04065412155274975,0.042420912503349534,0.04491113384824855,0.04949075730771998,0.05215150659838103
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,hcep_090,10,0.014033916322439244,0.0037691465446920047,0.008187581456960292,0.011659726865716204,0.013556996619469127,0.017119771491978533,0.019795477882117832
cpi_constant_2018usd,lightgbm,isotonic,id_test,survey_weighted,hcep_095,10,0.004825769381713148,0.001625877187365233,0.002799739195465936,0.0035393726482542127,0.004452601194605981,0.006011010850119454,0.00746932889572734
