bin,left,right,n,weight,observed_rate,mean_probability,absolute_gap
0,0.0,0.06666666666666667,13376,1492802.0,0.023871216678434247,0.02921053488083304,0.005339318202398795
1,0.06666666666666667,0.13333333333333333,7066,823213.0,0.08383978387124597,0.09751911195018972,0.013679328078943759
2,0.13333333333333333,0.2,5149,588238.0,0.15020620905143836,0.16580508919637876,0.015598880144940402
3,0.2,0.26666666666666666,4410,493139.0,0.2096873295358915,0.23332186977487065,0.02363454023897915
4,0.26666666666666666,0.3333333333333333,3838,428317.0,0.27632571203104245,0.2992405497895652,0.022914837758522766
5,0.3333333333333333,0.4,3714,404357.0,0.3412776333784255,0.3657388118290596,0.024461178450634113
6,0.4,0.4666666666666667,3593,385578.0,0.3834528940966549,0.43237705250986325,0.04892415841320835
7,0.4666666666666667,0.5333333333333333,3579,376427.0,0.48142136456736634,0.5004829204216752,0.019061555854308854
8,0.5333333333333333,0.6,3703,386652.0,0.5618514840218077,0.5666178032189555,0.004766319197147761
9,0.6,0.6666666666666666,3896,413774.0,0.6148549691377418,0.6336141218886494,0.01875915275090756
10,0.6666666666666666,0.7333333333333333,4300,434709.0,0.7055386476930544,0.7009843251808398,0.004554322512214659
11,0.7333333333333333,0.8,4749,476001.0,0.774824002470583,0.7678649089410099,0.006959093529573135
12,0.8,0.8666666666666667,5242,504933.0,0.8370199610641412,0.8335971268383332,0.0034228342258080247
13,0.8666666666666667,0.9333333333333333,5416,519409.0,0.8945224283753266,0.8993467044638276,0.0048242760885010005
14,0.9333333333333333,1.0,2969,270534.0,0.9220615523372293,0.9565847417657375,0.03452318942850818
