group_type,group,n,weight_sum,prevalence,auroc,average_precision,pr_skill,brier,log_loss,ece,calibration_intercept,calibration_slope,calibration_fit_iterations,hcep_080,hcep_090,hcep_095,aurc,excess_aurc
state,CA,27077,2789802.0,0.4298670658347797,0.8846823187684864,0.8402966665698637,0.7198840413175368,0.136629058266221,0.42377511035026405,0.01885444174303646,0.12290610561494832,1.0545274449967297,10,0.04456445296117789,0.01358519350118754,0.0040199985518685555,0.08168446414775943,0.06129813914507787
state,FL,13898,1607744.0,0.3430726533577485,0.8568742162109343,0.7514484769064071,0.621645339680236,0.14681521396358835,0.4498674437648506,0.04745030563201957,-0.33264439120500794,0.9552238919403679,9,0.046932223040484056,0.015014828231360217,0.004867690378567732,0.09463541804482592,0.07027655388538535
state,NY,14338,1397752.0,0.4370145776933247,0.8768652549230013,0.8334783982559135,0.7042168497688435,0.14102305973583096,0.4369231247309087,0.01740019981324337,0.02965866656049596,1.0418230863803386,9,0.04284522576251009,0.01539543495555721,0.0034147688574224897,0.08874799667223399,0.06687130316071235
state,TX,19687,2202785.0,0.3650233681453251,0.8751290343916911,0.7796909357064981,0.653043823597081,0.13879651383632857,0.4289357187999005,0.03321366463827377,-0.22902395599705502,1.0508834002820382,8,0.041541503142612644,0.012885052331480375,0.0030865472572221076,0.0836960872390922,0.06240374179089869
sex,Female,36001,3768929.0,0.3379527711983962,0.8792746267667642,0.7678656498053869,0.649368896816005,0.13242817794587847,0.4104861448019837,0.020863065921684097,-0.07279770399155748,1.0775840395559226,9,0.03855869930157878,0.011514942308544416,0.0033298584292779194,0.07434007448213116,0.055157905175102453
sex,Male,38999,4229154.0,0.4473715073984064,0.8678787474755381,0.8299230261736011,0.6922399476260583,0.14682630181198125,0.45257054660264995,0.012562032443080497,-0.08459773635078637,0.9932710396155107,6,0.0486740374079544,0.01620726036460247,0.004271066979353318,0.09761903206748421,0.07359376450900107
race,Asian alone,8527,810299.0,0.515920666321938,0.8841397427728894,0.8727729692191468,0.7371773138626369,0.1370196452732474,0.429691284519611,0.0240409793261781,-0.07449076622252292,1.0847242238966055,8,0.044451492597177095,0.014342853687342574,0.003919540811478232,0.08714462508713568,0.06725405294709719
race,Black or African American alone,5450,828406.0,0.3176159998841148,0.8547949734861747,0.7116579028078203,0.5774489185807224,0.1412639758562256,0.4363247844862918,0.020784214155712882,-0.0824501139949088,0.9311358981755217,8,0.054904237777128606,0.019716177816191578,0.004619715453533654,0.08768927741332988,0.06518785981468254
race,"Other pooled (RAC1P 3-5,7-9)",21815,2594478.0,0.2740994527608251,0.8660591816218247,0.7076885031871202,0.5973119211376391,0.12805708761481377,0.3991267546221999,0.02320241303443621,-0.17719328127501985,1.0031544646306476,10,0.042420864620937235,0.01393575123782125,0.004338444958870339,0.06990821024323622,0.05217291032467627
race,White alone,39208,3764900.0,0.4710385402002709,0.8657700032492964,0.8339079503275787,0.6860034949704924,0.14868159542128692,0.45576923717452683,0.01485489207767682,-0.05138043406442352,1.0405827287680975,7,0.042395017131929134,0.012704454301575074,0.003281362054769051,0.09831156014295085,0.07345534496709027
