target_definition,model,mapping,domain,desired_selection_rate,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.5,survey_weighted,selection_rate,10,0.5228295935175182,0.020131548307745405,0.49938560567237444,0.5105107148439603,0.5186351383621345,0.5314570992455129,0.5687068478125139
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.5,survey_weighted,selective_risk,10,0.06935727852826143,0.0032442857364214806,0.06496664560690425,0.0672084245590031,0.06944794811106517,0.0714085409289763,0.07409316280847089
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.5,survey_weighted,selective_accuracy,10,0.9306427214717384,0.0032442857364214863,0.9259068371915291,0.9285914590710237,0.9305520518889348,0.932791575440997,0.9350333543930958
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.7,survey_weighted,selection_rate,10,0.7129200647339597,0.012044189640988263,0.6894588854561463,0.7082586851164685,0.7170739211856447,0.7193073301835167,0.7293335416623526
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.7,survey_weighted,selective_risk,10,0.10979449444733777,0.004203094361737758,0.10232252430224031,0.10919154013889129,0.11071583373045833,0.11257934995373463,0.11449066008667241
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.7,survey_weighted,selective_accuracy,10,0.8902055055526622,0.004203094361737764,0.8855093399133276,0.8874206500462654,0.8892841662695417,0.8908084598611088,0.8976774756977597
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.8,survey_weighted,selection_rate,10,0.8174291102407958,0.017162186693444076,0.7929620711745344,0.8056627214007523,0.8162298723387198,0.8261154544724247,0.8479591643703456
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.8,survey_weighted,selective_risk,10,0.1376902800565752,0.006704642014199202,0.12961832437771664,0.13120185034014992,0.13783884657016687,0.14280432795600864,0.14870463200305187
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.8,survey_weighted,selective_accuracy,10,0.8623097199434249,0.006704642014199179,0.8512953679969482,0.8571956720439914,0.8621611534298331,0.86879814965985,0.8703816756222833
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.9,survey_weighted,selection_rate,10,0.919406513370201,0.01726040742553857,0.9018990186507281,0.9066243320896229,0.9132786881260652,0.930620462614845,0.9488240464807152
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.9,survey_weighted,selective_risk,10,0.16628936365118996,0.007140994516690541,0.15714780586779376,0.16199974846501758,0.1655121704903281,0.17013187846631989,0.18118447216196673
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.9,survey_weighted,selective_accuracy,10,0.83371063634881,0.007140994516690551,0.8188155278380332,0.8298681215336801,0.8344878295096719,0.8380002515349825,0.8428521941322062
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.95,survey_weighted,selection_rate,10,0.9600164700827583,0.010552612982741716,0.9465850150509361,0.9530887846806377,0.9552011324931167,0.9687639857744762,0.9795935724101416
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.95,survey_weighted,selective_risk,10,0.17739349704779508,0.00432533961528169,0.1719763023687721,0.1744655462709103,0.17664230391769145,0.1792093218345337,0.18536087979116253
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.95,survey_weighted,selective_accuracy,10,0.8226065029522049,0.004325339615281679,0.8146391202088374,0.8207906781654664,0.8233576960823086,0.8255344537290896,0.8280236976312279
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.5,survey_weighted,selection_rate,10,0.5055753234868905,0.018480003489403637,0.48778651084266067,0.4919316603741172,0.5017998062785795,0.5128412020730467,0.5492287339353693
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.5,survey_weighted,selective_risk,10,0.07479013413488597,0.004199507590470014,0.07050733785562129,0.07145099735518787,0.0747474982526876,0.07643336929598428,0.08430999342784758
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.5,survey_weighted,selective_accuracy,10,0.9252098658651139,0.004199507590470039,0.9156900065721524,0.9235666307040157,0.9252525017473123,0.9285490026448121,0.9294926621443788
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.7,survey_weighted,selection_rate,10,0.7024016629984959,0.011101025421246713,0.6820873201740967,0.6952356270871407,0.7039830669424161,0.7102422855576768,0.7169099145382712
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.7,survey_weighted,selective_risk,10,0.12133565864609323,0.0025187442837791363,0.11765261188428107,0.11922724738360277,0.12169076969501574,0.12323141969857104,0.12477773859151496
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.7,survey_weighted,selective_accuracy,10,0.8786643413539068,0.0025187442837791368,0.875222261408485,0.8767685803014289,0.8783092303049843,0.8807727526163972,0.8823473881157189
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.8,survey_weighted,selection_rate,10,0.8109392713228907,0.016289518097097513,0.7891152167338098,0.7975066337771188,0.809935393268612,0.8193243931076984,0.8395734327838308
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.8,survey_weighted,selective_risk,10,0.14949574231161894,0.0049107794183782215,0.14336846178087967,0.1462031651346246,0.14938948043847747,0.1509605078027761,0.15990417243362526
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.8,survey_weighted,selective_accuracy,10,0.8505042576883811,0.004910779418378208,0.8400958275663748,0.8490394921972239,0.8506105195615226,0.8537968348653754,0.8566315382191203
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.9,survey_weighted,selection_rate,10,0.9176961779466405,0.018103789691946363,0.8966542357712467,0.9044020923513797,0.9108593896812524,0.9301837390284647,0.9495805432376734
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.9,survey_weighted,selective_risk,10,0.17962214556750086,0.005272763810492283,0.17441014904103247,0.1752304828554918,0.1781284473800674,0.18286521955584645,0.18851193918384415
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.9,survey_weighted,selective_accuracy,10,0.820377854432499,0.005272763810492291,0.8114880608161559,0.8171347804441536,0.8218715526199326,0.8247695171445082,0.8255898509589675
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.95,survey_weighted,selection_rate,10,0.9596789630715259,0.009552771646157265,0.9504184940316324,0.9520434771682165,0.9552243331308266,0.9675039006221866,0.9780868740671983
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.95,survey_weighted,selective_risk,10,0.19128582599137012,0.002645968221822478,0.18892249399879063,0.1895389141806968,0.18981657798337606,0.1929896877644471,0.19709759396227958
cpi_constant_2018usd,lightgbm,isotonic,ood_test,0.95,survey_weighted,selective_accuracy,10,0.8087141740086299,0.0026459682218224825,0.8029024060377205,0.807010312235553,0.810183422016624,0.8104610858193032,0.8110775060012094
cpi_constant_2018usd,lightgbm,platt,id_test,0.5,survey_weighted,selection_rate,10,0.5006539496640934,0.009588515663146661,0.4856086204636278,0.49225571468547724,0.5036172135006255,0.50864245598755,0.5115620181182812
cpi_constant_2018usd,lightgbm,platt,id_test,0.5,survey_weighted,selective_risk,10,0.06434458704722118,0.0026918825142314335,0.0590572338162425,0.06294135442037938,0.06550941400037803,0.0658437000187679,0.06702185838270981
cpi_constant_2018usd,lightgbm,platt,id_test,0.5,survey_weighted,selective_accuracy,10,0.9356554129527789,0.0026918825142314244,0.9329781416172902,0.9341562999812321,0.934490585999622,0.9370586455796206,0.9409427661837575
cpi_constant_2018usd,lightgbm,platt,id_test,0.7,survey_weighted,selection_rate,10,0.69913949264037,0.007197444060682966,0.6862741137896321,0.6933672408560483,0.7015074594343318,0.7047351462279695,0.7067343385208409
cpi_constant_2018usd,lightgbm,platt,id_test,0.7,survey_weighted,selective_risk,10,0.1061816468977022,0.0034310804302040265,0.10072013955952665,0.10319217801062779,0.10717207683345555,0.10867111382213204,0.11024370117426073
cpi_constant_2018usd,lightgbm,platt,id_test,0.7,survey_weighted,selective_accuracy,10,0.8938183531022977,0.00343108043020403,0.8897562988257393,0.8913288861778679,0.8928279231665445,0.8968078219893723,0.8992798604404734
cpi_constant_2018usd,lightgbm,platt,id_test,0.8,survey_weighted,selection_rate,10,0.8006463123758782,0.006089764814624419,0.793085331228396,0.7955910977749461,0.8004564311368603,0.8055322697546652,0.8087756247359493
cpi_constant_2018usd,lightgbm,platt,id_test,0.8,survey_weighted,selective_risk,10,0.13281976003291956,0.0035383740555959635,0.12632583144217258,0.1305011370201358,0.13327310143556065,0.13479307205349791,0.13785043066011557
cpi_constant_2018usd,lightgbm,platt,id_test,0.8,survey_weighted,selective_accuracy,10,0.8671802399670805,0.0035383740555959687,0.8621495693398844,0.865206927946502,0.8667268985644394,0.8694988629798641,0.8736741685578274
cpi_constant_2018usd,lightgbm,platt,id_test,0.9,survey_weighted,selection_rate,10,0.9001312332033367,0.005250144620656826,0.8920660647964909,0.8976135912862553,0.8991820936473103,0.9030033635897601,0.9090410941628254
cpi_constant_2018usd,lightgbm,platt,id_test,0.9,survey_weighted,selective_risk,10,0.1600768282082342,0.003353927710819483,0.15661010701830158,0.15736828555687093,0.1595335265008816,0.16213430221891295,0.16574431351303803
cpi_constant_2018usd,lightgbm,platt,id_test,0.9,survey_weighted,selective_accuracy,10,0.8399231717917658,0.003353927710819494,0.8342556864869619,0.837865697781087,0.8404664734991184,0.842631714443129,0.8433898929816984
cpi_constant_2018usd,lightgbm,platt,id_test,0.95,survey_weighted,selection_rate,10,0.950300845846716,0.002666193510852314,0.9466067917811937,0.9478985361249124,0.9506973998287607,0.952288365525473,0.9537689912489233
cpi_constant_2018usd,lightgbm,platt,id_test,0.95,survey_weighted,selective_risk,10,0.17454986348503182,0.003725055555939248,0.1694918750444991,0.17187406954105078,0.17409029143401666,0.1763611475117442,0.18250287925127567
cpi_constant_2018usd,lightgbm,platt,id_test,0.95,survey_weighted,selective_accuracy,10,0.8254501365149682,0.0037250555559392466,0.8174971207487243,0.8236388524882559,0.8259097085659833,0.8281259304589492,0.8305081249555009
cpi_constant_2018usd,lightgbm,platt,ood_test,0.5,survey_weighted,selection_rate,10,0.4836010704064962,0.008024911361960266,0.4709494762682508,0.4794466374004871,0.48565687552879855,0.4889068105444767,0.49595546832909837
cpi_constant_2018usd,lightgbm,platt,ood_test,0.5,survey_weighted,selective_risk,10,0.06973296133414371,0.001675424526306555,0.06706625640612508,0.06847849943194823,0.06975713840082096,0.07082033278647482,0.07266203863016371
cpi_constant_2018usd,lightgbm,platt,ood_test,0.5,survey_weighted,selective_accuracy,10,0.9302670386658562,0.0016754245263065548,0.9273379613698363,0.9291796672135252,0.930242861599179,0.9315215005680517,0.9329337435938749
cpi_constant_2018usd,lightgbm,platt,ood_test,0.7,survey_weighted,selection_rate,10,0.6895319165855117,0.0067893230021683695,0.6786886307631467,0.6859772835565723,0.6888073679655488,0.6909912350246927,0.7015922440414785
cpi_constant_2018usd,lightgbm,platt,ood_test,0.7,survey_weighted,selective_risk,10,0.11794353285997086,0.0019349603006629434,0.11493111538835653,0.11670246175874058,0.1177810779599344,0.11856522021068563,0.12120375409098168
cpi_constant_2018usd,lightgbm,platt,ood_test,0.7,survey_weighted,selective_accuracy,10,0.882056467140029,0.0019349603006629465,0.8787962459090183,0.8814347797893144,0.8822189220400656,0.8832975382412595,0.8850688846116435
cpi_constant_2018usd,lightgbm,platt,ood_test,0.8,survey_weighted,selection_rate,10,0.7929872695744719,0.005168679674322518,0.7878614162918789,0.7888932260392896,0.7911934022190067,0.7962597099830047,0.8039866553022768
cpi_constant_2018usd,lightgbm,platt,ood_test,0.8,survey_weighted,selective_risk,10,0.14461108565256126,0.0016959669409381283,0.14268254778766956,0.14358184898257403,0.14397902029291193,0.145228306206658,0.14857553676688307
cpi_constant_2018usd,lightgbm,platt,ood_test,0.8,survey_weighted,selective_accuracy,10,0.8553889143474388,0.0016959669409381296,0.8514244632331169,0.854771693793342,0.8560209797070881,0.856418151017426,0.8573174522123305
cpi_constant_2018usd,lightgbm,platt,ood_test,0.9,survey_weighted,selection_rate,10,0.8976537752859028,0.0038223844971316443,0.8937031536181858,0.8945149106354611,0.8966558611607307,0.9008973150191115,0.9034221075225151
cpi_constant_2018usd,lightgbm,platt,ood_test,0.9,survey_weighted,selective_risk,10,0.1735158737668324,0.001271401638409731,0.17185567161664372,0.17251620924060895,0.17355191796145605,0.17424784633884838,0.17544662102829575
cpi_constant_2018usd,lightgbm,platt,ood_test,0.9,survey_weighted,selective_accuracy,10,0.8264841262331677,0.0012714016384097312,0.8245533789717042,0.8257521536611516,0.826448082038544,0.827483790759391,0.8281443283833563
cpi_constant_2018usd,lightgbm,platt,ood_test,0.95,survey_weighted,selection_rate,10,0.9497600237456899,0.0023790726671906125,0.9453257736885201,0.9490842368102457,0.9499248757483512,0.9514992530085021,0.9525765111464835
cpi_constant_2018usd,lightgbm,platt,ood_test,0.95,survey_weighted,selective_risk,10,0.18834980665769444,0.001105898305161275,0.18659217434321113,0.1875170059430139,0.18862731148662776,0.18907151450740622,0.18995926647631264
cpi_constant_2018usd,lightgbm,platt,ood_test,0.95,survey_weighted,selective_accuracy,10,0.8116501933423056,0.0011058983051612892,0.8100407335236873,0.8109284854925938,0.8113726885133723,0.8124829940569861,0.8134078256567889
cpi_constant_2018usd,lightgbm,raw,id_test,0.5,survey_weighted,selection_rate,10,0.5010365180985737,0.010229901277455194,0.4853545829927872,0.4920386042415008,0.5026332508053395,0.5098398475193092,0.5128765531336261
cpi_constant_2018usd,lightgbm,raw,id_test,0.5,survey_weighted,selective_risk,10,0.06456877149460248,0.0025703325321508436,0.06033863632748793,0.06273172302127313,0.06511429063683916,0.06627849748298974,0.06801693614281823
cpi_constant_2018usd,lightgbm,raw,id_test,0.5,survey_weighted,selective_accuracy,10,0.9354312285053975,0.0025703325321508592,0.9319830638571818,0.9337215025170102,0.9348857093631608,0.9372682769787268,0.9396613636725121
cpi_constant_2018usd,lightgbm,raw,id_test,0.7,survey_weighted,selection_rate,10,0.6992351476131979,0.007715290388035626,0.6843308097941512,0.6937392104087298,0.7011838868607749,0.7050816238125033,0.7072401508868342
cpi_constant_2018usd,lightgbm,raw,id_test,0.7,survey_weighted,selective_risk,10,0.1063993175077255,0.003392150820012743,0.10059788457665562,0.10356391428829474,0.10767795644399611,0.10844917654114014,0.11079234392136687
cpi_constant_2018usd,lightgbm,raw,id_test,0.7,survey_weighted,selective_accuracy,10,0.8936006824922744,0.0033921508200127387,0.8892076560786332,0.8915508234588598,0.892322043556004,0.8964360857117053,0.8994021154233444
cpi_constant_2018usd,lightgbm,raw,id_test,0.8,survey_weighted,selection_rate,10,0.8007006377133508,0.005749532178670894,0.7928711416744205,0.7957776575808381,0.8008552807763125,0.8044741651322341,0.8083783246292254
cpi_constant_2018usd,lightgbm,raw,id_test,0.8,survey_weighted,selective_risk,10,0.13285551020579042,0.0034773441271871088,0.12696698758210598,0.13014614791369716,0.133471508588275,0.13489573185363812,0.13830804514095182
cpi_constant_2018usd,lightgbm,raw,id_test,0.8,survey_weighted,selective_accuracy,10,0.8671444897942097,0.0034773441271871053,0.8616919548590481,0.8651042681463619,0.866528491411725,0.8698538520863028,0.873033012417894
cpi_constant_2018usd,lightgbm,raw,id_test,0.9,survey_weighted,selection_rate,10,0.8998813944171321,0.004594251121787197,0.8930470885110456,0.8958339694410271,0.9009997725030036,0.9032684944139366,0.9057890896720276
cpi_constant_2018usd,lightgbm,raw,id_test,0.9,survey_weighted,selective_risk,10,0.15991246171702914,0.0031085270237532357,0.15644292978228516,0.157110915845129,0.15992883255782336,0.1622241808301722,0.16544045554621234
cpi_constant_2018usd,lightgbm,raw,id_test,0.9,survey_weighted,selective_accuracy,10,0.8400875382829709,0.0031085270237532444,0.8345595444537877,0.8377758191698278,0.8400711674421766,0.842889084154871,0.8435570702177149
cpi_constant_2018usd,lightgbm,raw,id_test,0.95,survey_weighted,selection_rate,10,0.9507368384906323,0.003391005665615995,0.9451504650118214,0.9482164880154411,0.950820939197088,0.9531727008538173,0.9563387919564655
cpi_constant_2018usd,lightgbm,raw,id_test,0.95,survey_weighted,selective_risk,10,0.17469502664983697,0.0035098039696868,0.1700572947493588,0.17229701207833265,0.17442145571338025,0.17620014430026665,0.18181126578501877
cpi_constant_2018usd,lightgbm,raw,id_test,0.95,survey_weighted,selective_accuracy,10,0.825304973350163,0.003509803969686815,0.8181887342149812,0.8237998556997334,0.8255785442866198,0.8277029879216673,0.8299427052506412
cpi_constant_2018usd,lightgbm,raw,ood_test,0.5,survey_weighted,selection_rate,10,0.4834041357160209,0.008227445773565127,0.4714425944316907,0.4790321318245885,0.48442851868378956,0.48771502496285674,0.4962874228737061
cpi_constant_2018usd,lightgbm,raw,ood_test,0.5,survey_weighted,selective_risk,10,0.06969672137558128,0.0017728279983486995,0.06698443790797151,0.06850707194929162,0.06939763997455643,0.0706289479456918,0.0731475295187018
cpi_constant_2018usd,lightgbm,raw,ood_test,0.5,survey_weighted,selective_accuracy,10,0.9303032786244188,0.0017728279983487115,0.9268524704812982,0.9293710520543083,0.9306023600254436,0.9314929280507084,0.9330155620920285
cpi_constant_2018usd,lightgbm,raw,ood_test,0.7,survey_weighted,selection_rate,10,0.6890132297951898,0.007453457340070414,0.675605767031925,0.685708375369448,0.688183656008571,0.6905976407096551,0.7020914886729732
cpi_constant_2018usd,lightgbm,raw,ood_test,0.7,survey_weighted,selective_risk,10,0.11772370221879254,0.0021524847060847103,0.1140220569769768,0.11672587787865468,0.11749506815914816,0.11807696822493767,0.12120175263343064
cpi_constant_2018usd,lightgbm,raw,ood_test,0.7,survey_weighted,selective_accuracy,10,0.8822762977812074,0.0021524847060847077,0.8787982473665694,0.8819230317750623,0.8825049318408518,0.8832741221213453,0.8859779430230232
cpi_constant_2018usd,lightgbm,raw,ood_test,0.8,survey_weighted,selection_rate,10,0.7930374315945458,0.005197513534696183,0.787700377703007,0.7893880008497036,0.7918197398051507,0.7958312948240223,0.8045122812553959
cpi_constant_2018usd,lightgbm,raw,ood_test,0.8,survey_weighted,selective_risk,10,0.14440610526437386,0.0017584233873413038,0.14242107219687075,0.1435533091282473,0.14384476061102308,0.1445357248579499,0.14864118052589798
cpi_constant_2018usd,lightgbm,raw,ood_test,0.8,survey_weighted,selective_accuracy,10,0.8555938947356262,0.0017584233873413255,0.851358819474102,0.85546427514205,0.8561552393889769,0.8564466908717527,0.8575789278031293
cpi_constant_2018usd,lightgbm,raw,ood_test,0.9,survey_weighted,selection_rate,10,0.8977401084734931,0.0037274679392204284,0.892894084745057,0.8950005270012827,0.8968201505285704,0.9006643842030647,0.90305014339061
cpi_constant_2018usd,lightgbm,raw,ood_test,0.9,survey_weighted,selective_risk,10,0.17333848096905,0.001297655438384465,0.17150404239144454,0.17253652969297406,0.17343097485957165,0.17376026410901949,0.1753032327794846
cpi_constant_2018usd,lightgbm,raw,ood_test,0.9,survey_weighted,selective_accuracy,10,0.82666151903095,0.0012976554383844594,0.8246967672205154,0.8262397358909805,0.8265690251404284,0.827463470307026,0.8284959576085554
cpi_constant_2018usd,lightgbm,raw,ood_test,0.95,survey_weighted,selection_rate,10,0.9506586515793847,0.002314012014460147,0.9457373723178417,0.9494389468076287,0.950823153498157,0.9522040781522272,0.9539007034560657
cpi_constant_2018usd,lightgbm,raw,ood_test,0.95,survey_weighted,selective_risk,10,0.18843352044038836,0.0011132080501757681,0.18643257096759608,0.18765945526348565,0.18873825024554225,0.18932759826007464,0.18979671875008203
cpi_constant_2018usd,lightgbm,raw,ood_test,0.95,survey_weighted,selective_accuracy,10,0.8115664795596118,0.0011132080501757837,0.810203281249918,0.8106724017399254,0.8112617497544578,0.8123405447365144,0.813567429032404
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.5,survey_weighted,selection_rate,10,0.5149495584754181,0.009309047497270484,0.5034078824045468,0.5067442982946975,0.5158307843333857,0.5212093397838791,0.5316644421896384
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.5,survey_weighted,selective_risk,10,0.07175086466963687,0.0037517225803800594,0.06456891539032085,0.06995488598047862,0.07253730398624497,0.07312266770775797,0.07829398103698766
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.5,survey_weighted,selective_accuracy,10,0.9282491353303632,0.003751722580380072,0.9217060189630123,0.9268773322922421,0.9274626960137551,0.9300451140195214,0.9354310846096792
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.7,survey_weighted,selection_rate,10,0.7175564517596704,0.018308623484689052,0.6951080995779836,0.701143106890269,0.7179620100470729,0.7321551182466474,0.7438075547109605
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.7,survey_weighted,selective_risk,10,0.11527158786806901,0.006108332798218939,0.10418887076309588,0.111324477029351,0.11746412380075946,0.11921326261095679,0.12232946831588508
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.7,survey_weighted,selective_accuracy,10,0.884728412131931,0.006108332798218935,0.8776705316841149,0.8807867373890432,0.8825358761992406,0.888675522970649,0.8958111292369041
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.8,survey_weighted,selection_rate,10,0.8136725798510532,0.013026875512673038,0.7972148898073887,0.8033669296515955,0.8109472343252444,0.8249343330031271,0.8344321760724301
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.8,survey_weighted,selective_risk,10,0.1391234569322422,0.006148511783778144,0.1326403066055785,0.1334587050947912,0.13847003757592782,0.14242797055815978,0.14934195096429667
