heldout_site,repeat,missing_indicators,model,started,retained,excluded,iterations,converged
Cleveland,0,False,logistic_regression,1,1,0,8,True
Cleveland,0,False,logistic_regression,1,1,0,8,True
Cleveland,0,False,logistic_regression,1,1,0,8,True
Cleveland,0,True,logistic_regression,1,1,0,8,True
Cleveland,0,True,logistic_regression,1,1,0,8,True
Cleveland,0,True,logistic_regression,1,1,0,8,True
Cleveland,1,False,logistic_regression,1,1,0,8,True
Cleveland,1,False,logistic_regression,1,1,0,8,True
Cleveland,1,False,logistic_regression,1,1,0,8,True
Cleveland,1,True,logistic_regression,1,1,0,8,True
Cleveland,1,True,logistic_regression,1,1,0,8,True
Cleveland,1,True,logistic_regression,1,1,0,8,True
Cleveland,2,False,logistic_regression,1,1,0,8,True
Cleveland,2,False,logistic_regression,1,1,0,8,True
Cleveland,2,False,logistic_regression,1,1,0,8,True
Cleveland,2,True,logistic_regression,1,1,0,8,True
Cleveland,2,True,logistic_regression,1,1,0,8,True
Cleveland,2,True,logistic_regression,1,1,0,8,True
Cleveland,3,False,logistic_regression,1,1,0,8,True
Cleveland,3,False,logistic_regression,1,1,0,8,True
Cleveland,3,False,logistic_regression,1,1,0,8,True
Cleveland,3,True,logistic_regression,1,1,0,8,True
Cleveland,3,True,logistic_regression,1,1,0,8,True
Cleveland,3,True,logistic_regression,1,1,0,8,True
Cleveland,4,False,logistic_regression,1,1,0,8,True
Cleveland,4,False,logistic_regression,1,1,0,8,True
Cleveland,4,False,logistic_regression,1,1,0,8,True
Cleveland,4,True,logistic_regression,1,1,0,9,True
Cleveland,4,True,logistic_regression,1,1,0,9,True
Cleveland,4,True,logistic_regression,1,1,0,9,True
Cleveland,5,False,logistic_regression,1,1,0,8,True
Cleveland,5,False,logistic_regression,1,1,0,8,True
Cleveland,5,False,logistic_regression,1,1,0,8,True
Cleveland,5,True,logistic_regression,1,1,0,8,True
Cleveland,5,True,logistic_regression,1,1,0,8,True
Cleveland,5,True,logistic_regression,1,1,0,8,True
Cleveland,6,False,logistic_regression,1,1,0,8,True
Cleveland,6,False,logistic_regression,1,1,0,8,True
Cleveland,6,False,logistic_regression,1,1,0,8,True
Cleveland,6,True,logistic_regression,1,1,0,8,True
Cleveland,6,True,logistic_regression,1,1,0,8,True
Cleveland,6,True,logistic_regression,1,1,0,8,True
Cleveland,7,False,logistic_regression,1,1,0,7,True
Cleveland,7,False,logistic_regression,1,1,0,7,True
Cleveland,7,False,logistic_regression,1,1,0,7,True
Cleveland,7,True,logistic_regression,1,1,0,8,True
Cleveland,7,True,logistic_regression,1,1,0,8,True
Cleveland,7,True,logistic_regression,1,1,0,8,True
Cleveland,8,False,logistic_regression,1,1,0,8,True
Cleveland,8,False,logistic_regression,1,1,0,8,True
Cleveland,8,False,logistic_regression,1,1,0,8,True
Cleveland,8,True,logistic_regression,1,1,0,8,True
Cleveland,8,True,logistic_regression,1,1,0,8,True
