bin,left,right,n,weight,observed_rate,mean_probability,absolute_gap,heldout_site,repeat
0,0.0,0.1,68,68.0,0.47058823529411764,0.048224063891205315,0.4223641714029123,Cleveland,0
1,0.1,0.2,53,53.0,0.3018867924528302,0.14636855184061248,0.1555182406122177,Cleveland,0
2,0.2,0.30000000000000004,31,31.0,0.3870967741935484,0.2484424033435191,0.13865437085002927,Cleveland,0
3,0.30000000000000004,0.4,34,34.0,0.5,0.34223423786571494,0.15776576213428506,Cleveland,0
4,0.4,0.5,25,25.0,0.32,0.449131030914705,0.12913103091470501,Cleveland,0
5,0.5,0.6000000000000001,25,25.0,0.48,0.552556218626974,0.07255621862697403,Cleveland,0
6,0.6000000000000001,0.7000000000000001,22,22.0,0.6363636363636364,0.6455734202070714,0.009209783843435071,Cleveland,0
7,0.7000000000000001,0.8,18,18.0,0.5555555555555556,0.7547668712330724,0.19921131567751682,Cleveland,0
8,0.8,0.9,20,20.0,0.7,0.8537937732857446,0.15379377328574462,Cleveland,0
9,0.9,1.0,7,7.0,0.5714285714285714,0.9314994489436621,0.3600708775150907,Cleveland,0
0,0.0,0.1,61,61.0,0.4426229508196721,0.04255136958707992,0.40007158123259223,Cleveland,1
1,0.1,0.2,47,47.0,0.3404255319148936,0.1461116500460272,0.19431388186886642,Cleveland,1
2,0.2,0.30000000000000004,18,18.0,0.3888888888888889,0.25912641681314574,0.12976247207574315,Cleveland,1
3,0.30000000000000004,0.4,22,22.0,0.36363636363636365,0.3581159080760628,0.005520455560300841,Cleveland,1
4,0.4,0.5,20,20.0,0.55,0.4521569731513602,0.09784302684863982,Cleveland,1
5,0.5,0.6000000000000001,18,18.0,0.4444444444444444,0.5624816432620074,0.11803719881756303,Cleveland,1
6,0.6000000000000001,0.7000000000000001,15,15.0,0.4666666666666667,0.655942192755276,0.1892755260886093,Cleveland,1
7,0.7000000000000001,0.8,36,36.0,0.3611111111111111,0.7525917732290125,0.3914806621179014,Cleveland,1
8,0.8,0.9,22,22.0,0.5454545454545454,0.8502912592987328,0.3048367138441874,Cleveland,1
9,0.9,1.0,44,44.0,0.6818181818181818,0.9575584824468527,0.27574030062867094,Cleveland,1
0,0.0,0.1,9,9.0,0.3333333333333333,0.06679132704909724,0.2665420062842361,Cleveland,2
1,0.1,0.2,46,46.0,0.17391304347826086,0.15888511373505815,0.015027929743202717,Cleveland,2
2,0.2,0.30000000000000004,41,41.0,0.2926829268292683,0.25055706717871745,0.04212585965055082,Cleveland,2
3,0.30000000000000004,0.4,29,29.0,0.3448275862068966,0.3613947555653776,0.016567169358481015,Cleveland,2
4,0.4,0.5,33,33.0,0.36363636363636365,0.45357791370669126,0.08994155007032761,Cleveland,2
5,0.5,0.6000000000000001,27,27.0,0.4444444444444444,0.5400271731097808,0.09558272866533635,Cleveland,2
6,0.6000000000000001,0.7000000000000001,31,31.0,0.4838709677419355,0.6558471208682712,0.17197615312633574,Cleveland,2
7,0.7000000000000001,0.8,40,40.0,0.725,0.7570561293070514,0.03205612930705137,Cleveland,2
8,0.8,0.9,32,32.0,0.84375,0.8498499675013774,0.0060999675013774235,Cleveland,2
9,0.9,1.0,15,15.0,0.7333333333333333,0.9316398674698514,0.1983065341365181,Cleveland,2
0,0.0,0.1,93,93.0,0.10752688172043011,0.0379195019216111,0.06960737979881901,Cleveland,3
1,0.1,0.2,37,37.0,0.2702702702702703,0.14180571866460986,0.12846455160566042,Cleveland,3
2,0.2,0.30000000000000004,26,26.0,0.38461538461538464,0.24537486511907117,0.13924051949631347,Cleveland,3
3,0.30000000000000004,0.4,15,15.0,0.3333333333333333,0.340229218361137,0.006895885027803694,Cleveland,3
4,0.4,0.5,17,17.0,0.5882352941176471,0.45507032265165337,0.1331649714659937,Cleveland,3
5,0.5,0.6000000000000001,4,4.0,0.5,0.5289233321365426,0.028923332136542634,Cleveland,3
6,0.6000000000000001,0.7000000000000001,12,12.0,0.5,0.6535196198787168,0.15351961987871676,Cleveland,3
