analysis_id,estimand,representation,horizon_day,domain,alpha,conformal_method,metric,n_repeats,mean,sd,min,q25,median,q75,max
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,coverage,10,0.9535714285714285,0.04054615801411046,0.8928571428571429,0.9330357142857143,0.9553571428571428,0.9910714285714286,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,avg_set_size,10,1.8142857142857143,0.13341834024878,1.625,1.6830357142857144,1.875,1.90625,1.9821428571428572
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,singleton_rate,10,0.18571428571428572,0.13341834024878002,0.017857142857142856,0.09375,0.125,0.3169642857142857,0.375
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,ambiguous_rate,10,0.8142857142857143,0.13341834024878,0.625,0.6830357142857143,0.875,0.90625,0.9821428571428571
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,singleton_accuracy,10,0.7368715907415597,0.29314691054858955,0.0,0.6785714285714286,0.7394957983193278,0.9605263157894737,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,class0_coverage,10,0.9857142857142858,0.02559446904221762,0.9285714285714286,0.9821428571428571,1.0,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,class1_coverage,10,0.8571428571428571,0.1543033499620919,0.5714285714285714,0.7321428571428572,0.8928571428571428,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,class0_avg_set_size,10,1.8285714285714285,0.12025839317381469,1.6666666666666667,1.7142857142857142,1.869047619047619,1.9226190476190477,2.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,class1_avg_set_size,10,1.7714285714285716,0.20974014805281183,1.3571428571428572,1.6607142857142856,1.7857142857142856,1.9285714285714286,2.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,class0_singleton_accuracy,9,0.8333333333333334,0.33333333333333337,0.0,0.8333333333333334,1.0,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.05,label_conditional,class1_singleton_accuracy,8,0.4770833333333333,0.40068765296436976,0.0,0.25,0.3666666666666667,0.8125,1.0
