analysis_id,estimand,representation,horizon_day,domain,metric,n_repeats,mean,sd,min,q25,median,q75,max
AAA-J,landmark_still_registered,score_free,14,id_test,prevalence,10,0.25,0.0,0.25,0.25,0.25,0.25,0.25
AAA-J,landmark_still_registered,score_free,14,id_test,auroc,10,0.6110544217687075,0.055596322217039335,0.5425170068027212,0.5769557823129251,0.5782312925170068,0.6581632653061225,0.7040816326530612
AAA-J,landmark_still_registered,score_free,14,id_test,average_precision,10,0.4460124433516433,0.0918010274058095,0.30835785379788294,0.36900555627977144,0.4812484453270099,0.51148610496551,0.5494691270414489
AAA-J,landmark_still_registered,score_free,14,id_test,pr_skill,10,0.26134992446885774,0.12240136987441266,0.07781047173051059,0.15867407503969524,0.3083312604360132,0.3486481399540132,0.3992921693885985
AAA-J,landmark_still_registered,score_free,14,id_test,brier,10,0.1824565058576265,0.008738246695273056,0.1686156905544735,0.1768532898910877,0.18277206783808742,0.18570383531857634,0.20076521139729464
AAA-J,landmark_still_registered,score_free,14,id_test,log_loss,10,0.5528382291041477,0.022429768018542844,0.5192894988770341,0.5439700735560593,0.5512006205521573,0.5573024635199819,0.60507467006984
AAA-J,landmark_still_registered,score_free,14,id_test,ece,10,0.08677074059041523,0.05667910603826697,0.028497069882553218,0.04162588069251806,0.0743300996564411,0.10910718283403067,0.1918914303093562
AAA-J,landmark_still_registered,score_free,14,id_test,calibration_intercept,10,4.293203846478537,11.035675793880127,-5.084329131031207,-0.2943307786465393,0.3424895202418988,2.1396832899749536,33.11667975124413
AAA-J,landmark_still_registered,score_free,14,id_test,calibration_slope,10,5.008680289966902,10.231141689571107,-3.7319836777004918,0.7980415509190444,1.2040605650928624,3.118842054605623,31.70199306868341
AAA-J,landmark_still_registered,score_free,14,id_test,hcep_080,10,0.04107142857142857,0.04041486951611418,0.0,0.004464285714285714,0.026785714285714284,0.07142857142857142,0.10714285714285714
AAA-J,landmark_still_registered,score_free,14,id_test,hcep_090,10,0.005357142857142857,0.012052652816259873,0.0,0.0,0.0,0.0,0.03571428571428571
AAA-J,landmark_still_registered,score_free,14,id_test,hcep_095,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA-J,landmark_still_registered,score_free,14,id_test,aurc,10,0.20963932625208465,0.04983948699407657,0.1349622457602999,0.18183834817718147,0.1899600644768684,0.24588634517625202,0.2878086144707201
AAA-J,landmark_still_registered,score_free,14,id_test,excess_aurc,10,0.17623521508355502,0.04983356614559889,0.1007392997186116,0.1476154021354932,0.1557371184351801,0.211035419348569,0.2535856684290318
AAA-J,landmark_still_registered,score_free,14,ood_test,prevalence,10,0.25786163522012584,5.851389114294502e-17,0.2578616352201258,0.2578616352201258,0.2578616352201258,0.2578616352201258,0.2578616352201258
AAA-J,landmark_still_registered,score_free,14,ood_test,auroc,10,0.5684993799090534,0.05193179810189828,0.44450186027284,0.5545938404299298,0.5730932203389831,0.5932074204216619,0.6463414634146342
AAA-J,landmark_still_registered,score_free,14,ood_test,average_precision,10,0.34299994151182395,0.04403297434300124,0.23437278766361494,0.3356844599240132,0.3484861212383072,0.359024415150105,0.40511151656614264
AAA-J,landmark_still_registered,score_free,14,ood_test,pr_skill,10,0.11472026017271193,0.05933256712319658,-0.03165022679224766,0.10486295871117035,0.12211265488890544,0.1363125593971754,0.19841297571200575
AAA-J,landmark_still_registered,score_free,14,ood_test,brier,10,0.19037292438969033,0.005231332860685,0.1817032313169681,0.18804412610133786,0.18989802033919057,0.191706785360792,0.19971501532887753
AAA-J,landmark_still_registered,score_free,14,ood_test,log_loss,10,0.5693335838776428,0.014285470527132993,0.54577965331473,0.5629158545072492,0.5672821490590436,0.5717463269757658,0.5937728145072253
AAA-J,landmark_still_registered,score_free,14,ood_test,ece,10,0.04574058222447029,0.028083670941085475,0.011817846744967678,0.023385236738844347,0.04347422281103483,0.05541935480998118,0.0923153160808016
AAA-J,landmark_still_registered,score_free,14,ood_test,calibration_intercept,10,0.38322854242611964,3.524457603059186,-6.158975044003307,-0.5781724529849654,-0.11033043103243022,0.34823017212441365,7.93102283783081
AAA-J,landmark_still_registered,score_free,14,ood_test,calibration_slope,10,1.348165646409638,3.2819193917645473,-4.738604933014717,0.41930451652776224,0.9219856814381098,1.3355229297653732,8.371029880803793
AAA-J,landmark_still_registered,score_free,14,ood_test,hcep_080,10,0.036477987421383654,0.04041284950950605,0.0,0.0023584905660377358,0.022012578616352203,0.06367924528301887,0.10377358490566038
AAA-J,landmark_still_registered,score_free,14,ood_test,hcep_090,10,0.005031446540880504,0.009162169133506147,0.0,0.0,0.0,0.0031446540880503146,0.025157232704402517
AAA-J,landmark_still_registered,score_free,14,ood_test,hcep_095,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA-J,landmark_still_registered,score_free,14,ood_test,aurc,10,0.22124779881478926,0.03664742826704416,0.16001815968319585,0.20536358257817877,0.22188199892312127,0.2329302632213669,0.30096805442113783
AAA-J,landmark_still_registered,score_free,14,ood_test,excess_aurc,10,0.18417664506275883,0.0365077930551012,0.12440835019297211,0.16997327473091728,0.1808476733597568,0.1977760708567841,0.2644271078056572
AAA-J,landmark_still_registered,score_free,56,id_test,prevalence,10,0.23214285714285715,0.0,0.23214285714285715,0.23214285714285715,0.23214285714285715,0.23214285714285715,0.23214285714285715
AAA-J,landmark_still_registered,score_free,56,id_test,auroc,10,0.6098389982110912,0.12540648826826678,0.3005366726296959,0.582737030411449,0.6431127012522362,0.6802325581395349,0.7352415026833632
AAA-J,landmark_still_registered,score_free,56,id_test,average_precision,10,0.3949519050183371,0.10507559116107029,0.1829500147015643,0.3655566125471279,0.4047998156061798,0.4636065266658467,0.5229316073996926
AAA-J,landmark_still_registered,score_free,56,id_test,pr_skill,10,0.2120303879308576,0.13684263034930083,-0.06406509713284651,0.17374814657300383,0.22485557381269927,0.3014410579834282,0.37870162824146014
AAA-J,landmark_still_registered,score_free,56,id_test,brier,10,0.172392338495578,0.013029111316744188,0.15530265197577933,0.16281004805465316,0.17025382320581095,0.18031151410136836,0.19936720568453511
AAA-J,landmark_still_registered,score_free,56,id_test,log_loss,10,0.528737526763239,0.036690312346487224,0.48598344402328947,0.4996278419855431,0.524314088446991,0.547929332477575,0.6074482545799297
AAA-J,landmark_still_registered,score_free,56,id_test,ece,10,0.10746224400977337,0.04277746461485177,0.037129087303951855,0.08012134533780108,0.10101721046774495,0.13706835275895404,0.18185492255354013
AAA-J,landmark_still_registered,score_free,56,id_test,calibration_intercept,10,-0.7702419590097692,2.465291481766118,-7.3967904435244085,-0.7159001160282216,-0.1801755684248843,0.11103527240141103,1.4290743929978014
