horizon_day,pair,source_n,source_prevalence,target_n_before_overlap,target_n,target_prevalence,overlap_students_removed
14,AAA-J,370,0.24864864864864866,350,318,0.2578616352201258,32
14,BBB-B,1606,0.5006226650062267,1289,1257,0.42720763723150357,32
14,BBB-J,1851,0.4219340896812534,1791,1760,0.35852272727272727,31
14,DDD-B,1197,0.5747702589807853,1050,1008,0.5337301587301587,42
14,DDD-J,1675,0.5068656716417911,1479,1381,0.44532947139753803,98
14,EEE-J,933,0.3483386923901393,1027,1003,0.3240279162512463,24
14,FFF-B,1520,0.4861842105263158,1309,1264,0.495253164556962,45
14,FFF-J,1998,0.4519519519519519,1886,1800,0.3927777777777778,86
14,GGG-J,926,0.36069114470842334,719,717,0.3821478382147838,2
56,AAA-J,365,0.23835616438356164,342,315,0.24761904761904763,27
56,BBB-B,1470,0.454421768707483,1247,1216,0.40625,31
56,BBB-J,1785,0.39943977591036417,1750,1723,0.3383633197910621,27
56,DDD-B,1085,0.5299539170506913,971,933,0.4962486602357985,38
56,DDD-J,1574,0.47395171537484115,1417,1331,0.4237415477084899,86
56,EEE-J,906,0.32781456953642385,997,974,0.30390143737166325,23
56,FFF-B,1407,0.44420753375977257,1257,1214,0.4728171334431631,43
56,FFF-J,1915,0.4281984334203655,1793,1714,0.3605600933488915,79
56,GGG-J,919,0.3558215451577802,698,696,0.3635057471264368,2
