horizon_day,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
14,equal_pair,value,500,0.673925748768502,0.01792174466179337,0.6152035993551573,0.6622954773642185,0.6750494873302358,0.6857564251017023,0.7239726860278649
14,equal_pair,value,500,0.8850963120824714,0.020120918995963775,0.8091410658596601,0.8735670459770737,0.8870328860582763,0.8995266290141662,0.9246104987258327
14,equal_pair,value,500,0.07360586968459362,0.012467966217491383,0.04202193091709687,0.06507955203776455,0.0721430823308625,0.08191720717733822,0.11739415948539483
14,size_weighted,value,500,0.686182023257286,0.015269569900154854,0.636773740167575,0.6759675534087446,0.687150181163503,0.6972149561930705,0.7253877799825061
14,size_weighted,value,500,0.8755005497198044,0.026720664373434313,0.7863039399624765,0.8582375424573805,0.8760543394764096,0.8979450047612193,0.9255986979772146
14,size_weighted,value,500,0.07776098093474235,0.015529061581677571,0.03999185731864645,0.06677746105666954,0.07677649463295759,0.0876579975544739,0.12268834921724382
56,equal_pair,value,500,0.7414367370978204,0.016491355343479543,0.6965054873275993,0.7310458030551128,0.7419989405139958,0.7538303362548382,0.7854377931831578
56,equal_pair,value,500,0.8975023397690374,0.0170034395416244,0.8226594203239996,0.8868385499509,0.8984068633966238,0.9103120722561145,0.9364722845383453
56,equal_pair,value,500,0.07703179234742248,0.014954702251153326,0.03727413568491739,0.0662641040578486,0.07495393676949713,0.0872942752523091,0.13335545777666846
56,size_weighted,value,500,0.7495721531218196,0.013014150903283997,0.705222565377515,0.7411407350354385,0.7499188272939439,0.7583078230410725,0.7870173167147119
56,size_weighted,value,500,0.8868168968097091,0.01915118993722938,0.8068538398018167,0.8748602420723119,0.887546043703006,0.9006687676837608,0.9300832342449465
56,size_weighted,value,500,0.08050919690779319,0.019839663870552995,0.03729472137443136,0.06524766928649424,0.07813343669549352,0.09444654305078554,0.15222150833476844
