repeat,model,started,retained,excluded,iterations,converged
0,logistic_regression,1,1,0,9,True
1,logistic_regression,1,1,0,9,True
2,logistic_regression,1,1,0,9,True
3,logistic_regression,1,1,0,9,True
4,logistic_regression,1,1,0,9,True
5,logistic_regression,1,1,0,9,True
6,logistic_regression,1,1,0,9,True
7,logistic_regression,1,1,0,8,True
8,logistic_regression,1,1,0,9,True
9,logistic_regression,1,1,0,9,True
10,logistic_regression,1,1,0,8,True
11,logistic_regression,1,1,0,9,True
12,logistic_regression,1,1,0,9,True
13,logistic_regression,1,1,0,9,True
14,logistic_regression,1,1,0,9,True
15,logistic_regression,1,1,0,8,True
16,logistic_regression,1,1,0,8,True
17,logistic_regression,1,1,0,9,True
18,logistic_regression,1,1,0,8,True
19,logistic_regression,1,1,0,9,True
