repeat,rank,feature_code,feature_name,mutual_information
0,1,laufkont,checking-account status,0.060902496650883826
0,2,hoehe,credit amount,0.031468033794387784
0,3,moral,credit history,0.02720047238458237
0,4,laufzeit,duration,0.025238623915843306
0,5,verw,purpose,0.023915289863805502
0,6,sparkont,savings status,0.02025664723179206
0,7,alter,age,0.019590149015752845
0,8,verm,property,0.01722528911956514
0,9,wohn,housing,0.016197098525561227
0,10,beszeit,employment duration,0.009773449244585244
0,11,gastarb,foreign-worker status,0.007386665142912553
0,12,rate,installment rate,0.007199302390917053
0,13,weitkred,other installment plans,0.004397367423655513
0,14,famges,personal status and sex,0.0034280737870436423
0,15,buerge,other debtors or guarantors,0.0030107602896895166
0,16,beruf,job,0.0016239596605604895
0,17,wohnzeit,present residence duration,0.0015608594334746984
0,18,telef,telephone,0.000713401388601903
0,19,bishkred,number of existing credits,0.0005906138848126227
0,20,pers,people liable,0.00013164626318812322
1,1,laufkont,checking-account status,0.05933837140328241
1,2,laufzeit,duration,0.03360198833253403
1,3,moral,credit history,0.024509265008958232
1,4,sparkont,savings status,0.02030400290198211
1,5,verw,purpose,0.013798738028283642
1,6,beszeit,employment duration,0.009331219916826866
1,7,famges,personal status and sex,0.0077613210041235225
1,8,bishkred,number of existing credits,0.007227572674619265
1,9,verm,property,0.00698471105747378
1,10,wohn,housing,0.005078829821028308
1,11,weitkred,other installment plans,0.004581199866990432
1,12,rate,installment rate,0.003407223390197736
1,13,buerge,other debtors or guarantors,0.0029609808125903025
1,14,gastarb,foreign-worker status,0.001963502715364534
1,15,beruf,job,0.0019069115289035848
1,16,hoehe,credit amount,0.001808137300852497
1,17,wohnzeit,present residence duration,0.0015878534962680546
1,18,pers,people liable,0.0014943136025997311
1,19,telef,telephone,0.00030528625192988157
1,20,alter,age,0.0
2,1,laufkont,checking-account status,0.07900282208795598
2,2,laufzeit,duration,0.028273921988495543
2,3,moral,credit history,0.026653843203327456
2,4,verw,purpose,0.0213198879962605
2,5,sparkont,savings status,0.016907960832102956
2,6,beszeit,employment duration,0.015889018285797044
2,7,verm,property,0.012631625557423032
2,8,famges,personal status and sex,0.007463716415146246
