mapping,scenario_family,metric,n_repeats,mean,sd,min,q25,median,q75,max
isotonic,none,auroc,20,0.7706560846560846,0.04701714465256509,0.6484656084656085,0.7435714285714284,0.7770370370370371,0.8035714285714286,0.8554497354497355
isotonic,none,average_precision,20,0.5616610932044689,0.0640160244713464,0.42309152453251825,0.5201368447140774,0.5642271333879374,0.6058101913506062,0.6737902462416339
isotonic,none,brier,20,0.1722768192623209,0.01605678026828455,0.15102582685849134,0.15956513157554145,0.16962429995152573,0.18101288264518128,0.21979970599672982
isotonic,none,log_loss,20,0.6857795848745242,0.16121874650255633,0.48474416134799564,0.5593327541268163,0.6858981156257343,0.7665546945509054,1.0552327376637356
isotonic,none,ece,20,0.07499080024896812,0.024602906172163288,0.027342295699661928,0.06014363703216431,0.07527539521764931,0.09176820358620144,0.1167664350440237
isotonic,none,hcep_090,20,0.02566666666666667,0.020206535912106544,0.0,0.013333333333333334,0.02,0.03333333333333333,0.08
isotonic,none,aurc,20,0.13035886910071798,0.025460972241467875,0.08760505502679625,0.11336710022762501,0.12499613966425342,0.1473599043943752,0.2002574830011962
isotonic,none,excess_aurc,20,0.09447507221046506,0.019881187191222817,0.059721859723950485,0.08439504629572378,0.08872787101662383,0.1023285482136686,0.14752303744438194
platt,fixed_count_mcar_like,auroc,20,0.7667936507936508,0.04972257427681231,0.6177777777777778,0.7474603174603175,0.7773544973544972,0.8003174603174603,0.8444444444444444
platt,fixed_count_mcar_like,average_precision,20,0.6007316125524361,0.07054098351108391,0.4051307828403308,0.5716839699561859,0.6126698466419342,0.6565122267284875,0.6858076755059623
platt,fixed_count_mcar_like,brier,20,0.17096350544871114,0.015993840164627647,0.1475291465380841,0.15920519545825249,0.16862850201417856,0.1776083497858528,0.21831193775275237
platt,fixed_count_mcar_like,log_loss,20,0.5186608592145718,0.044056289973445684,0.45670900095529876,0.49106185441979466,0.508352003250629,0.5375643421026918,0.6559687690443448
platt,fixed_count_mcar_like,ece,20,0.08211763066784922,0.0209112748608305,0.050234244103134484,0.06654569058220833,0.08330580246834456,0.09395123549158108,0.14144731760145934
platt,fixed_count_mcar_like,hcep_090,20,0.018000000000000002,0.018109478633419267,0.0,0.005,0.016666666666666666,0.021666666666666667,0.06
platt,fixed_count_mcar_like,aurc,20,0.1389710594638869,0.030222809153490092,0.09771126175772706,0.12180805376307681,0.13470775917798983,0.15312427954598237,0.23005846423152088
platt,fixed_count_mcar_like,excess_aurc,20,0.10132377655051483,0.024437020801060607,0.06442648615156427,0.0838044952017802,0.09923062497773534,0.11314676452247847,0.17485031142044521
platt,label_independent_measurement_corruption,auroc,20,0.7067513227513228,0.057698726858577694,0.5333333333333333,0.6795767195767196,0.7106878306878307,0.747989417989418,0.7845502645502647
